,Page URL
0,https://www.altnews.in/fact-check-east-timor-video-is-viral-as-aimim-mumbai-chalo-rally/
1,https://www.altnews.in/rail-minister-ashwini-vaishnaw-tweets-peru-rail-video-to-promote-vande-bharat/
2,https://www.altnews.in/jagan-mohan-reddy-refused-temple-prasad-tdp-makes-false-claim-with-clipped-video/
3,https://www.altnews.in/shimla-sp-same-date-of-birth-on-aadhaar-cards-result-of-default-auto-fill-rejects-propaganda-false-narrative/
4,https://www.altnews.in/video-of-bhagpat-muslim-youths-with-religious-flag-shared-as-pakistani-flag/
5,https://www.altnews.in/sex-workers-beaten-up-in-dhaka-video-falsely-viral-as-attack-on-hindus-for-not-wearing-burqa/
6,https://www.altnews.in/fake-press-note-of-adani-group-warning-protestors-gone-viral/
7,https://www.altnews.in/ai-image-of-algerian-boxer-imane-khelif-with-male-physical-features-viral/
8,https://www.altnews.in/edited-video-of-bhupender-singh-hoodda-speech-viral-with-false-claim-fact-check/
9,https://www.altnews.in/knife-wielding-miscreant-nabbed-by-cops-kalaburagi-video-from-feb-2023-falsely-viral/
10,https://www.altnews.in/viral-nitish-lalu-meeting-video-is-from-2022-political-game-changer-speculation-baseless/
11,https://www.altnews.in/mk-stalin-visited-new-york-morphed-image-of-times-square-shared-fact-check/
12,https://www.altnews.in/hindus-thrashed-a-man-for-converting-to-christianity-no-2022-video-shows-telangana-man-beaten-up-for-affair/
13,https://www.altnews.in/delhi-flat-slogans-in-support-of-pakistan-found-written-on-the-wall-false-claim-muslim/
14,https://www.altnews.in/did-kejriwal-call-uddhav-thackeray-a-fake-son-of-bal-thackeray-edit-video-viral/
15,https://www.altnews.in/scripted-video-shared-as-muslim-fruit-seller-not-letting-put-tricolor-at-his-shop/
16,https://www.altnews.in/video-of-clashes-between-clerk-and-typist-shared-as-judge-got-beaten-up-in-hariyana/
17,https://www.altnews.in/son-of-bjp-leader-beaten-up-elderly-couple-image-of-another-abhinav-singh-viral-as-accused/
18,https://www.altnews.in/did-not-cm-yogi-greet-pm-modi-and-amit-shah-false-claim-by-congress-leaders/
19,https://www.altnews.in/up-meerut-sadhus-thrashed-suspicion-of-being-child-kidnappers-video-viral-with-false-muslim-angle/
20,https://www.altnews.in/cong-mp-shahu-chhatrapati-did-not-apologize-to-minorities-at-vishalgad-video-falsely-shared-by-rw-handles/
