User_ID,Tweet_ID,Tweet_Text
UID_936710422160266708,TID_5576422449343365648,"*सोटाई और कुटाई.*😄🦯👮🏻‍♂️
हमें तो आजतक पता ही नहीं था कि योगी के UP में समाजवादी पार्टी का नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी Video देखें  । 🤔😆👊🦯 https://t.co/fdiX5FU-maSQaZKn21D_"
UID_15198247484511709407,TID_10207838876770498368,"हमें तो आजतक पता ही नहीं था कि योगी के UP में नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  । 🤔🤔🤔 https://t.co/ByG6VPska6CWTtVHhsXT"
UID_12387818764662547044,TID_6420576048984848328,"हमें तो आजतक पता ही नहीं था कि ....योगी के UP में नेता "" कमाल अख्तर ,, की तूती बोलती है .... 😂😂 इसे तो कोई छू भी नहीं सकता .... 😜😜आप भी पूरी VDO देखें  । 🤔🤔🤔 https://t.co/tz5F9J75cYp3I1o1H0g3"
UID_205664754430939548,TID_14813756176543898587,"हमें तो आजतक पता ही नहीं था कि #योगी के #UP में नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  । 🤔🤔🤔🤔 https://t.co/i4Pv667AoVHsjQl8zcoB"
UID_143519955176205068,TID_16515028943877754307,"हमें तो आजतक पता ही नहीं था कि योगी के UP में नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  । 🤔🤔 😂😅😂👇 
Thank you @pI7xygtb7ey @gDiS1gyh https://t.co/QYJo29JMDoWHfG:HXG_u"
UID_2168951771106398786,TID_3002168333317843376,"हमें तो आजतक पता ही नहीं था कि योगी के UP में नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  । 🤔🤔🤔🤔 https://t.co/3gyDk:v5~LGNlZEK_uFl"
UID_1013466449129478840,TID_16398831399733442389,"*हमें तो आजतक पता ही नहीं था कि योगी के UP में एक नया नेता पैदा हुआ  "" कमाल अख्तर ,, की तूती बोलती है और योगी को खुला च्यालेँज करता है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  ।* 🤔🤔🤔🤔 https://t.co/kDq1KrG86dHZHh:qd9BO"
UID_10883491284034178564,TID_4379964975920741446,"हमें तो आजतक पता ही नहीं था कि योगी के UP में नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  । 🤔🤔🤔🤔
@lHpBcznqBTSf0aQ https://t.co/NdpzciRoLhIlnsh9ci2s"
UID_7286470334930969094,TID_5645453917302195846,"हमें तो आजतक पता ही नहीं था कि योगी के UP में नेता "" कमाल अख्तर ,, की तूती बोलती है । इसे तो कोई छू भी नहीं सकता । आप भी पूरी VDO देखें  । 🤔🤔🤔🤔
👇👇👇👇👇👇👇 https://t.co/mqEk~_DmyEWjc2sbZHST"
UID_7625794416556980492,TID_10653848574330815597,"This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 
#RespectWomens 

@gN8Hj8fVr @r3yBHniC68DZ8pU @jy4rp6R_Rq @gQiPvMjguozE @pwgUahtSJwGuTNW @q4gmc4Xzvjlz1b @jI_9U9hoK @wYKOWaYK5etk @hbtx_MGBhm @enslfyfOQi0 @e7PW5YRkN1 @peJIbFLIhBDJLA https://t.co/LGI3zHlDYuymQFdSX_Km"
UID_11622645093394675805,TID_11238073741454439206,"@bQreVOOv This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 https://t.co/ocTd-n0E3rp40Xlpvitm"
UID_16532552811405416278,TID_10622920064654848591,This is one of the reasons why poll ranks #India the world’s most dangerous country for #women. https://t.co/H~hXO2AuL:rS4kuyXJwF
UID_16284516066175139938,TID_843024266939596005,"This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 https://t.co/Hwz~Q6Eq-CUg3q1lgUxq"
UID_9267418770234591379,TID_10105239668923759259,"@udZqcsQDRcUhtDD @sM6Eun3B This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 https://t.co/I4EqBLOCLHp~UUGJTGwq"
UID_2987522328841355734,TID_10513782919632492957,This is one of the reasons why poll ranks #India the world’s most dangerous country for #women. https://t.co/qqW16paSC3e-3dgWihHf
UID_11622645093394675805,TID_3111726265092221101,"This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 https://t.co/ocTd-n0E3rp40Xlpvitm"
UID_14932150795233576035,TID_16255380875637863924,"This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 https://t.co/849bzADf:aTKi0fIr:3_"
UID_1697343681882461588,TID_18382685985690512401,"@mSqLiqj0ad This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 https://t.co/EZcgTV1rmCLRYXY4Rowi"
UID_8169925702631036851,TID_7212657110534387794,"This is one of the reasons why poll ranks #India the world’s most dangerous country for #women.
 @sZ
@vSlzoTK226KD https://t.co/0_GJ0iKYL9mekp:4DpeR"
UID_4146712158681416574,TID_2302944279730127027,Due to heavy rain the Gorges Dam in China was opened. See what happened next. https://t.co/3A6EH6hhIM~wtW1NYUe2
UID_11739091932644558964,TID_2217847715584292972,"The Gorges Dam in China on 2nd August 2021 due to heavy overflowing..!!
#China 
#ChinaFloods 
#chinaflood 
#Flood 
#چائینہ https://t.co/c6CjW36Qr9QUI1Xq1S_g"
UID_10828491681105941523,TID_3367052991652729317,"Νow, here's a disaster for you!   
China doesn't let the rest of the world know what happens at home.  The Three Gorges Dam in China was opened to release the pressure on 2nd August 2021 - due to heavy overflowing. 
(And nobody had a surfboard!) https://t.co/Rjl8WMfeueviiceC6n7E"
UID_14978137642234802846,TID_1707329370163659652,The #Gorges_Dam in #China on 2nd August 2021 due to heavy overflowing. https://t.co/I331eKhch~cg7IZz-Sgj
UID_497257543150643520,TID_16709334297850537370,Due to heavy rain the Gorges Dam in China was opened. See what happened next. @v3RUZrJg9vZWfed https://t.co/Dm3q6fKHiqR-Y1H~TEQX
UID_11092720129244758694,TID_10775253324653926922,The Gorges Dam in China was opened on 2nd August 2021 due to heavy overflowing. See what happened next. https://t.co/kRJKQP1V~0GZd1xgL~vT
UID_7402932641230592753,TID_12565503826368933750,Live: Confirmed North Korea Dictator Kim Jong UN is Dead https://t.co/MygLBofn6AUE5p4mcGRV
UID_7960570732487110919,TID_12004890314875254880,Live: Confirmed North Korea Dictator Kim Jong UN is Dead https://t.co/SF-1ENqmlT982D_y1JZP
UID_9302604607152193774,TID_4900136369512629689,"Confirmed North Korea Dictator Kim Jong UN is Dead.
#KimJongUn 
#KIMJONGUNDEAD https://t.co/lW58XSVCzmep5J_8XdZ6"
UID_5066959197901835846,TID_11663831153882619671,"An 8 year Ukraine girl confronts a Russian soldier telling him to go back to his country. This is courage simplicitta. I stand with Ukraine.
If this were to be a @VKx1q personnel, he wud hv the girl wasted. https://t.co/nvPCzwBbLtDuvAktEtBP"
UID_6394329074332440120,TID_3379361718564317313,An 8 year Ukraine girl confronts a Russian soldier telling him to go back to his country. This is courage simplicitta. https://t.co/nzi5YthXyhS26dPOH467
UID_6180875585614378300,TID_13260928887625917886,"40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. The accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq. https://t.co/VpF63yp~4AfoScAXKZXb"
UID_6162400997795746884,TID_17461779631223110639,"40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. The accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq. https://t.co/T~6sXjNRuSlPrKFkU93c"
UID_18073975885749667752,TID_4624830383069617827,"40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. The accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq. https://t.co/0-WVUJrLAi1SbCf:QNlE"
UID_5738103343123188275,TID_3850383203147049951,"👁️ 40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. The accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq. 👁️"
UID_18021047775578333929,TID_2903086814532289849,"40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. The accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq. https://t.co/1sZZZYne5-IkGKkGLgMT"
UID_4124766292234321396,TID_3744963532620468314,"40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. They accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq. https://t.co/tUHViAkoPHMV8tXT_m4A"
UID_8766756871623092560,TID_1403714592945941561,"40,000 #US soldiers who fought in #Afghanistan and #Iraq resigned and threw away their #war #medals in solidarity with the people of Afghanistan and Iraq. They accepted that #the_war_on_terror was a fake war.They are apologizing from the people of Afghanistan and Iraq
 #Muslims https://t.co/PFe190o7yFjvPL3AuDVW"
UID_7095988422622097157,TID_974955250109320327,"Is this true?
40,000 US soldiers who fought in Afghanistan and Iraq, resigned and threw away their war medals in solidarity with the people of Afghanistan and Iraq. The accepted that “the war on terror” was a fake war. They are apologizing from the people of Afghanistan and Iraq."
UID_6185291067465609447,TID_15697722112965350104,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे l https://t.co/id5iDsllWB09pd1eKG2i"
UID_5473959460079121363,TID_8338020551143577086,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे तब तुम् https://t.co/mqp1qUPYQcfui0dIoCIK"
UID_12628923836754874611,TID_3326699869974714341,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे #india https://t.co/2e9_XSefd52k~eHR3G6r"
UID_8511600536579613721,TID_9825347869620934794,"Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families"".2 days ago https://t.co/wEfbuX53wQaylDtc2MsI"
UID_1090406016431067805,TID_2482451331347927694,"Mexico MP Antonio Garcia undressed in parliament and said,  ""You are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families"" https://t.co/:brsxfOyPYfbqK0Afwf5"
UID_15657106980100469304,TID_3706621020827341435,"@SNkDXYvWhBFKyQ Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy"" https://t.co/tvnvKTeQ9phci9hta2Ji"
UID_1436530283170074371,TID_11039984252279393904,"Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families https://t.co/ZeL-m7Yn8HYk5CgBgoLQ"
UID_8020498135571319065,TID_15691241454187634696,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है।
इससे बुरा हाल हमारे मुल्क का है। https://t.co/vg7P6DEcrhp3~2DGXZvr"
UID_7834882179677415811,TID_10284566367363686702,"मेक्सिको,संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े उतार देता है और बोलता है की""तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न,हताश,बेरोजगार,निजी कंपनियों इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे तब तुम्हे ये देख कर शर्म नही आती"" https://t.co/Dx8ZYt3nhDxPwtSlYJ:N"
UID_7029415367074276312,TID_11296715913955087744,"मेक्सिको 🇲🇽 में,संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की ""तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न,नंगे,हताश,बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे तब तुम्हे ये https://t.co/N5jAF6qxihhJa7NwPuaE"
UID_15657106980100469304,TID_10481271049247945099,"@rbvutmAMTN Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy"" https://t.co/tvnvKTeQ9phci9hta2Ji"
UID_1316501248629804879,TID_1511356618019644075,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे तब https://t.co/5LKTkOMS:2jEsYLyO4XR"
UID_15398739449649741613,TID_11295253487698597842,"मेक्सिको संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े उतार देता है और बोलता है की""तुम्हें मुझे नग्न देखने में शर्म आती है लेकिन आपको अपने देश को नग्न,नंगे, हताश,बेरोजगार और निजी कंपनियां जब इस देश का सारा धन लूट रही है और आम आदमी को गुलाम बना रहे https://t.co/Zle~SOKUNpA4tPwkj-25"
UID_15657106980100469304,TID_13376254400561843429,"@doFisk4gJ1U @rbvutmAMTN Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy"" https://t.co/tvnvKTeQ9phci9hta2Ji"
UID_15855799189585990086,TID_1299377074183353632,"Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families"" https://t.co/FX69PiAt2_hKyOu_It7P"
UID_2543538727687535101,TID_854216199052058549,"मेक्सिको संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े उतार देता है और बोलता है की""तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे,हताश,बेरोजगारऔर निजीकंपनियों जब इस देश का सारा धनलूट रहे है और आम आदमी को गुलाम बनारहे तबये देख कर शर्म नही आती https://t.co/K2XGrMzGTqJ3CY-xV5nz"
UID_8344402099890332756,TID_8193679713106087879,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है 
@hqud79fa @oRLfV2xHG8Og @vFZinn https://t.co/Fq7DD9JNJ-7~j6:vtHRk"
UID_1744180022253788184,TID_1300238582238335433,"मेक्सिको 🇲🇽 में संसद का एक सदस्य ने संसद बहस के दौरान सारे कपड़े  उतार देता है और बोलता है की तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न,नंगे,हताश बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे  ये देख कर शर्म नही आती https://t.co/4CYmi0kSiNPRVAdV84-u"
UID_10963715800651031608,TID_14721199227475656146,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे हैं https://t.co/0mDGvAg52DwrJ92H7uLZ"
UID_16371204876076456164,TID_10591654193967637646,"Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families"" https://t.co/FKGfGOpPH8V:I1paA5Gk"
UID_13145170244503254647,TID_9861446928756034912,"मेक्सिको 🇲🇽 में  , संसद का एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की  तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न,नंगे,हताश बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को गुलाम बना रहे तब तुम्हे https://t.co/he6FnY5V2GLovO0hR5w:"
UID_12534026690627115859,TID_11394418724316668539,"Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families"" https://t.co/qyU9ZfZTExZwWkGP_MqL"
UID_5107653398755811925,TID_5013902916203799657,"मेक्सिको 🇲🇽 में  , संसद के एक सदस्य ने संसद में बहस के दौरान अपने सारे कपड़े  उतार देता है और बोलता है की "" तुम्हे मुझे नग्न देखने मे शर्म आती है लेकिन आपको अपने देश को नग्न, नंगे, हताश, बेरोजगार और निजी कंपनियों जब इस देश का सारा धन लूट रहे है और आम आदमी को लूटा जा रहा है https://t.co/rGUbCrJck6Nhd3UeQAE7"
UID_15657106980100469304,TID_5511381275458416602,"@xeUY6n0zajm5 @wgx9UrJcYidkCS Mexico MP Antonio Garcia undressed in parliament and said, "" you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy"" https://t.co/tvnvKTeQ9phci9hta2Ji"
UID_7973121764438258606,TID_12443571616792134278,"They freeze to make sure that we are warm. They protect to make sure that we feel safe. Can never thank you Jawaans enough. 
Share Max &amp; Show Your Support 🙏
https://t.co/bhjtqtisjNHaMtYBKFLS"
UID_11064378630862288536,TID_15748316668511602536,"One of theost Harshest conditions on this planet, soldiers facing at the highest battlefield Siachin. Other high altitude areas along LC and LAC are no different except the temperature is few celcius higher.
Jai Hind Ki Sena https://t.co/NoBGKsXySkZnv6ZQNF3d"
UID_10086235079952447591,TID_3886073090828829847,They freeze to make sure that we are warm. They protect to make sure that we feel safe. Can never thank you Jawaans enough. https://t.co/4jErkfn6pFyut:gXgzuJ
UID_17367576295805931097,TID_896168528410274330,They freeze to make sure that we are warm. They protect to make sure that we feel safe. Can never thank you Jawaans enough. https://t.co/kDtuVsnzTd~ERIwd9gTY
UID_14055782895628766447,TID_7377908250272011630,"One of theost Harshest conditions on this planet, soldiers facing at the highest battlefield Siachin. Other high altitude areas along LC and LAC are no different except the temperature is few celcius higher.
Jai Hind Ki Sena 🇮🇳 https://t.co/P3jACyrKLPpAFq0-oKeZ"
