,Tweet_ID,User_ID,Tweet_Text
0,TID_10886074461835763183,UID_936710422160266708,"The logo of India’s largest public sector
bank, SBI was made in Ahmedabad and inspired by city’s Kankaria lake? http://t.co/irIQuH26Y8ieEiK5JSB9"
1,TID_885277386011919676,UID_15198247484511709407,"यह तो हद हो गया @oRLfV2xHG8Og जी और @lHpBcznqBTSf0aQ जी...कुछ भी करलो...हारना तो तय है...

आप भी देखिये...और अधिक से अधिक इसको शेयर करें ताकि सबको पता चले... 

End... https://t.co/ySQNViXS7I8FWZ:djzQs"
2,TID_10534469632068746701,UID_12387818764662547044,‘She’ won a gold medal at #ParisOlympics https://t.co/xbAaRns:GIQMTdgE-w:C
3,TID_8210112446762555302,UID_205664754430939548,बी जे पी का विकाश देखलो https://t.co/lceEc784qtfZXuJQx7i4
4,TID_12245197957203332959,UID_143519955176205068,संविधान निर्माता बाबा साहब डॉ.भीमराव अम्बेडकर जी की जयंती के सम्बन्ध में अपर पुलिस अधीक्षक नगर मथुरा द्वारा दी गयी बाइट- https://t.co/v-lIJ-UaQBjsdv15EZ-T
5,TID_3348655319832608455,UID_2168951771106398786,"#महाराष्ट्र में शांतिदूत ( #जिहादी )  हिंदुत्व की रैली में विघन डालने का प्रयास करने की कोशिश की। प्रशासन की मुस्तैदी से हिन्दू मुस्लिम दंगा होने से बच गया।

लेकिन सेकुलरो को यह शांति दूत की दिखते रहेंगे

#सनातन_राष्ट्रीय_धर्म
#सनातन_धर्म_ही_सर्वश्रेष्ठ_है https://t.co/wIPb6JRezd_K2rqvKtha"
6,TID_10394764710196110772,UID_1013466449129478840,"Horror!
Hindu man brutally beaten up by 'shanti doots' for objecting to their reading Namaj thrice in moving train thus even obstructing way to bathrooms

Security guard kept quiet and no one helped the hindu man in a train to vishakhapattanam

Tyranny of fascist minority.. https://t.co/HZ82y1MchFbQKoyF~-Gn"
7,TID_1100215499902018256,UID_10883491284034178564,"Live: Public Meeting at Hapta Kangjeibung, Imphal.

#Manipur https://t.co/~vH3jpIJJXc4Dm4z~o4X"
8,TID_6116733817289623525,UID_7286470334930969094,Electrifying atmosphere at PM Shri @oRLfV2xHG8Og's public meeting in Kolkata. #DeshKeLiyeModi https://t.co/JqKVwVRWkV~-AlpR8yZf
9,TID_7830403465262939420,UID_7625794416556980492,"हरियाणा के एक मुस्लिम ढाबे में हिंदू महिला को देख कर मुस्लिम वेटर ने महिला पर अश्लील कमेंट किया,
 महिला के विरोध करने पर उसके पति को पूरे मुस्लिम स्टाफ के लड़को ने मिल कर बहुत मारा।
किसी मुस्लिम के ढाबे में फैमिली सहित जाने से बचे!!!
धन्यवाद।।🙏 https://t.co/wi7Ol5IB4cO1pQLRVdiW"
10,TID_8811438504034290197,UID_11622645093394675805,एक बेरोज़गार बंदा 😳 https://t.co/ygDjlFXtEQPLwLf6CJq8
11,TID_6201746538584825552,UID_16532552811405416278,ब्रेकिंग न्यूज... मुंबई नाई जिहाद**** एक मुलले ने पुलिस के सामने कुबूल किया कि मस्जिदों में नाईजेहाद के लिए पैसा मिलता है । जिसमें हिंदुओं को एड्स के ब्लेड से हल्का सा चीरा लगाने के लिए सिखाया जाता है. और ज्यादा से ज्यादा लडको को अंदरूनी युद्ध के लिए तैयार किया जा रहा है। https://t.co/5AwkWv5b50i8Y_GW0vRh
12,TID_5114369940886094522,UID_16284516066175139938,"अच्छा, तो अब नमस्ते प्रणाम भी बंद हो गया? 

वैसे BJP की मीटिंग में इतना मातम मायूसी का माहौल क्यों? https://t.co/NwyXa0R~9UwCJsvtgz:D"
13,TID_10329220049512826186,UID_9267418770234591379,"Baarish thi, aapko kasht hua uske liye dhanyawad - Rahul 😂 https://t.co/lkusyAI~8SkhMf4R1HTJ"
14,TID_5535135393699432377,UID_2987522328841355734,"कलयुग में घर परिवार रिश्ते नातें सब व्यर्थ हैं मनों.......?

Delhi: तीस हजारी कोर्ट हिसाब किताब बराबर करने पहुंचा परिवार किसी बात को लेकर आपस में भिड़ गया....!!
एक दूसरे के बाल खींचती नजर आ रहीं महिलाए...!
घटना का वीडियो वायरल है...! https://t.co/~0n~Wdqkepi_iAGQ9iWf"
15,TID_8168237009910353438,UID_14932150795233576035,"𝗖𝗹𝗮𝗶𝗺: A letter circulating online claims that an agreement was signed between PTI chairman Imran Khan, the interior secretary Yousuf Khokhar and the U.S. ambassador Donald Blome, where the ambassador offers Khan certain sureties in case of arrest. 

𝗙𝗮𝗰𝘁: ❌ The letter https://t.co/yw0M3YyvEySqc_NIz2fS"
16,TID_8231135937704668313,UID_1697343681882461588,"बेटियों की सुरक्षा के लिए संसद के सामने अपनी बेटी को लेकर पहुंचा तो पुलिस वालों ने घसीटा, गिरफ्तार किया। 
मोदीराज में बेटियां सुरक्षित नहीं है
मोदी सरकार मुर्दाबाद 
@mK6slKgXiQLVlI
@gpmiLJTnZT5 
@erh @pmUNufDrYPvG @b9Ka7OrOOfrOsNi 
@fcE5T188H 
@vN_JLaWeZWPX 
@hsNk78ke https://t.co/hTC3-ovYR4jR86Wt7Y1f"
17,TID_15175004887313337553,UID_8169925702631036851,"जयपुर : भयंकर बारिश बनी आफत

पानी के तेज बहाव में बहे लोग

सड़कें बनीं तालाब, कारें तैरने लगी
#Rajasthan #rains https://t.co/2U3GDLAG8fwzdysMMd6n"
